id,chart,hardness,avg_inference_time,total_inference_time,inference_count,total_prompt_tokens,total_response_tokens,total_tokens,avg_prompt_tokens,avg_response_tokens,avg_total_tokens,token_count,code execution_fail_rate,surface-form check_fail_rate,deconstruction_fail_rate,chart type check_fail_rate,data check_fail_rate,order check_fail_rate,layout check_fail_rate,scale and ticks check_fail_rate,invalid_rate,illegal rate,pass_rate,readability_score,quality_score,is_multi_table,text_model,vision_model
77,Bar,Hard,12.9585,25.917,2,10590,818,11408,5295.0,409.0,5704.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
81,Pie,Hard,12.2155,48.862,4,19984,1544,21528,4996.0,386.0,5382.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
86,Bar,Easy,7.74,15.48,2,9520,488,10008,4760.0,244.0,5004.0,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
93,Pie,Medium,5.8502,23.4007,4,18694,736,19430,4673.5,184.0,4857.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
94,Bar,Medium,5.9213,23.6853,4,18688,745,19433,4672.0,186.25,4858.25,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
95,Pie,Easy,6.9175,20.7525,3,14456,654,15110,4818.6667,218.0,5036.6667,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
96,Bar,Easy,7.4702,22.4105,3,14456,707,15163,4818.6667,235.6667,5054.3333,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
98,Bar,Medium,8.1894,8.1894,1,5274,258,5532,5274.0,258.0,5532.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
103,Pie,Hard,15.779,31.5579,2,11656,990,12646,5828.0,495.0,6323.0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
120,Bar,Medium,7.5856,7.5856,1,4951,237,5188,4951.0,237.0,5188.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
131,Pie,Medium,12.4989,12.4989,1,4997,393,5390,4997.0,393.0,5390.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
138,Pie,Medium,9.524,19.048,2,9635,601,10236,4817.5,300.5,5118.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
146,Stacked Bar,Hard,14.0399,14.0399,1,5042,442,5484,5042.0,442.0,5484.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
150,Pie,Medium,13.3439,13.3439,1,5004,421,5425,5004.0,421.0,5425.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
158,Bar,Hard,14.3527,14.3527,1,7962,433,8395,7962.0,433.0,8395.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
163,Line,Hard,12.7475,12.7475,1,7958,396,8354,7958.0,396.0,8354.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
173,Pie,Medium,15.0924,15.0924,1,4854,476,5330,4854.0,476.0,5330.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
175,Scatter,Medium,11.5541,34.6624,3,15496,1092,16588,5165.3333,364.0,5529.3333,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
186,Bar,Medium,5.9542,5.9542,1,5095,185,5280,5095.0,185.0,5280.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
189,Stacked Bar,Extra Hard,8.1368,32.5471,4,19104,1025,20129,4776.0,256.25,5032.25,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
194,Stacked Bar,Extra Hard,10.7277,10.7277,1,4779,339,5118,4779.0,339.0,5118.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
195,Stacked Bar,Extra Hard,12.638,12.638,1,4781,400,5181,4781.0,400.0,5181.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
196,Stacked Bar,Extra Hard,8.8416,44.2078,5,23893,1395,25288,4778.6,279.0,5057.6,5,0.4,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.4,0.6,0.0,,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
201,Stacked Bar,Extra Hard,11.0039,55.0196,5,23895,1739,25634,4779.0,347.8,5126.8,5,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
202,Stacked Bar,Extra Hard,11.5359,23.0719,2,9560,730,10290,4780.0,365.0,5145.0,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
205,Bar,Medium,7.3506,22.0519,3,14293,695,14988,4764.3333,231.6667,4996.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
210,Stacked Bar,Extra Hard,11.3231,11.3231,1,4779,358,5137,4779.0,358.0,5137.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
211,Stacked Bar,Extra Hard,10.8517,10.8517,1,4779,343,5122,4779.0,343.0,5122.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
219,Bar,Medium,8.0984,32.3937,4,19046,1022,20068,4761.5,255.5,5017.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
224,Stacked Bar,Extra Hard,11.0869,33.2607,3,14341,1052,15393,4780.3333,350.6667,5131.0,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
225,Stacked Bar,Extra Hard,9.8761,9.8761,1,4777,312,5089,4777.0,312.0,5089.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
231,Bar,Medium,9.6619,38.6474,4,19048,1221,20269,4762.0,305.25,5067.25,4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
233,Bar,Medium,7.1306,21.3918,3,14293,674,14967,4764.3333,224.6667,4989.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
