id,chart,hardness,avg_inference_time,total_inference_time,inference_count,total_prompt_tokens,total_response_tokens,total_tokens,avg_prompt_tokens,avg_response_tokens,avg_total_tokens,token_count,code execution_fail_rate,surface-form check_fail_rate,deconstruction_fail_rate,chart type check_fail_rate,data check_fail_rate,order check_fail_rate,layout check_fail_rate,scale and ticks check_fail_rate,invalid_rate,illegal rate,pass_rate,quality_score,readability_score,is_multi_table,text_model,vision_model
74,Bar,Easy,6.9798,41.8788,6,5267,1489,6756,877.8333,248.1667,1126.0,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
77,Bar,Hard,15.2415,30.4831,2,3690,1080,4770,1845.0,540.0,2385.0,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
81,Pie,Hard,8.8998,35.5992,4,3984,1275,5259,996.0,318.75,1314.75,4,0.0,0.25,0.0,0.75,0.75,0.0,0.0,0.0,0.25,0.75,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
86,Bar,Easy,8.3495,16.699,2,1756,597,2353,878.0,298.5,1176.5,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
93,Pie,Medium,6.3581,25.4324,4,3339,906,4245,834.75,226.5,1061.25,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
94,Bar,Medium,6.3989,25.5955,4,3336,913,4249,834.0,228.25,1062.25,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
95,Pie,Easy,7.0299,21.0896,3,2722,752,3474,907.3333,250.6667,1158.0,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
96,Bar,Easy,7.2615,21.7845,3,2722,777,3499,907.3333,259.0,1166.3333,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
98,Bar,Medium,33.145,33.145,1,5065,1186,6251,5065.0,1186.0,6251.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
103,Pie,Hard,14.3298,28.6596,2,4512,1004,5516,2256.0,502.0,2758.0,2,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
120,Bar,Medium,6.794,6.794,1,974,237,1211,974.0,237.0,1211.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
131,Pie,Medium,8.2085,8.2085,1,978,288,1266,978.0,288.0,1266.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
138,Pie,Medium,7.9575,15.9151,2,1690,566,2256,845.0,283.0,1128.0,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
146,Stacked Bar,Hard,9.6371,9.6371,1,977,345,1322,977.0,345.0,1322.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
150,Pie,Medium,10.0518,10.0518,1,960,360,1320,960.0,360.0,1320.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
158,Bar,Hard,14.5171,14.5171,1,2479,495,2974,2479.0,495.0,2974.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
163,Line,Hard,12.3499,12.3499,1,2477,413,2890,2477.0,413.0,2890.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
173,Pie,Medium,14.2362,14.2362,1,2150,499,2649,2150.0,499.0,2649.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
175,Scatter,Medium,28.065,84.1951,3,10013,3001,13014,3337.6667,1000.3333,4338.0,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
186,Bar,Medium,7.2557,7.2557,1,1046,254,1300,1046.0,254.0,1300.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
189,Stacked Bar,Extra Hard,31.0454,124.1817,4,12380,4449,16829,3095.0,1112.25,4207.25,4,0.5,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.75,0.25,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
194,Stacked Bar,Extra Hard,6.6099,6.6099,1,888,232,1120,888.0,232.0,1120.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
195,Stacked Bar,Extra Hard,7.4083,7.4083,1,889,262,1151,889.0,262.0,1151.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
196,Stacked Bar,Extra Hard,43.9772,219.8861,5,20863,7900,28763,4172.6,1580.0,5752.6,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
201,Stacked Bar,Extra Hard,10.4033,52.0164,5,6442,1838,8280,1288.4,367.6,1656.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
202,Stacked Bar,Extra Hard,7.1207,14.2415,2,1777,504,2281,888.5,252.0,1140.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
